,Olympiad_Participation,Scholarship,School,Fav_sub,Projects,Grasp_pow,Time_sprt,Medals,Career_sprt,Act_sprt,Fant_arts,Won_arts,Time_art,Predicted Hobby
0,1,1,1,2,1,1.5415614168230682,-1.4871626661995003,1,0,0,0,0.5,0.5842559546767729,Academics
1,1,1,1,2,1,-0.43947024142814195,-0.7678345418887709,0,0,0,0,0.0,-0.9861951696346355,Academics
2,1,1,1,3,1,1.5415614168230682,-1.4871626661995003,1,0,0,0,0.0,-0.9861951696346355,Academics
4,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,0,0,0,0,0.0,-0.2009696074789313,Academics
5,1,1,1,2,1,2.532077245948673,-0.7678345418887709,1,0,0,0,0.0,1.3694815168324772,Academics
6,1,1,1,3,1,-0.43947024142814195,1.3901498310434173,0,0,0,0,0.0,-0.2009696074789313,Academics
7,1,1,1,2,0,1.5415614168230682,-0.7678345418887709,0,0,0,0,0.5,0.5842559546767729,Academics
8,1,1,1,3,1,-0.43947024142814195,-0.7678345418887709,1,0,0,0,0.0,-0.9861951696346355,Academics
9,1,1,1,3,1,1.5415614168230682,-0.04850641757804155,1,0,0,0,0.0,-0.9861951696346355,Academics
10,1,1,1,2,1,2.532077245948673,0.6708217067326878,1,0,0,0,0.0,-0.2009696074789313,Academics
11,1,1,1,2,0,-0.43947024142814195,-1.4871626661995003,0,0,0,0,0.0,-0.2009696074789313,Academics
12,1,1,1,2,0,-0.43947024142814195,0.6708217067326878,0,0,0,0,0.5,-0.9861951696346355,Academics
13,1,1,1,3,1,2.532077245948673,-0.7678345418887709,1,0,0,0,0.5,-0.9861951696346355,Academics
14,1,1,1,0,1,-1.429986070553747,-0.7678345418887709,1,0,0,0,0.0,-0.9861951696346355,Academics
15,1,1,1,2,1,1.5415614168230682,-1.4871626661995003,0,0,0,0,0.0,-0.2009696074789313,Academics
16,1,1,1,2,1,1.5415614168230682,-0.7678345418887709,1,0,0,0,0.0,-0.9861951696346355,Academics
17,1,1,1,0,1,1.5415614168230682,-0.04850641757804155,1,0,0,0,0.0,-0.2009696074789313,Academics    
18,1,1,1,0,1,2.532077245948673,-0.7678345418887709,1,0,0,0,0.0,-0.9861951696346355,Academics
19,1,1,1,2,0,-0.43947024142814195,-1.4871626661995003,0,0,0,0,0.0,0.5842559546767729,Academics
20,1,1,1,2,0,1.5415614168230682,-1.4871626661995003,0,0,0,0,0.0,0.5842559546767729,Academics
21,1,1,1,0,0,-1.429986070553747,-0.7678345418887709,1,0,0,0,0.0,-0.9861951696346355,Academics
